iter	Passed	Remaining
0	1	121
1	2	102
2	2	94
3	3	90
4	4	87
5	5	86
6	6	84
7	7	83
8	8	82
9	9	82
10	10	81
11	10	79
12	11	78
13	12	76
14	13	75
15	14	74
16	15	73
17	15	72
18	16	71
19	17	70
20	18	69
21	19	68
22	20	67
23	21	66
24	21	65
25	23	65
26	24	65
27	25	65
28	26	64
29	27	63
30	28	62
31	28	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	34	55
38	34	54
39	35	53
40	36	52
41	37	52
42	38	51
43	39	50
44	40	49
45	41	48
46	41	47
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	47	41
53	48	40
54	48	40
55	49	39
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	54	33
62	55	32
63	56	31
64	57	30
65	58	30
66	59	29
67	60	28
68	60	27
69	61	26
70	62	25
71	63	24
72	64	23
73	65	22
74	66	22
75	67	21
76	67	20
77	68	19
78	69	18
79	70	17
80	70	16
81	71	15
82	72	14
83	73	14
84	74	13
85	75	12
86	76	11
87	77	10
88	77	9
89	78	8
90	79	7
91	80	7
92	81	6
93	82	5
94	83	4
95	84	3
96	85	2
97	85	1
98	86	0
99	87	0
